Name,Type,"Mass
(ME)","Radius
(RE)","Flux
(SE)","Tsurf
(K)","Period
(days)","Distance
(ly)",ESI,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-452 b,G-Warm Superterran,~ 3.31,1.63,1.11,~ 295,384.8,1799,0.83,Kepler-452 b,Kepler-452,1,1,1,Transit,2015,Kepler,Published Confirmed,1,<a refstr=JENKINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...56J/abstract target=ref>Jenkins et al. 2015</a>,384.843,0.007,-0.012,0,1.046,0.019,-0.015,0,1.63,0.23,-0.2,0,0.145,0.021,-0.018,0,,,,,,,,,,,,,,1.1,0.29,-0.22,0,265,15,-13,0,0,<a refstr=JENKINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...56J/abstract target=ref>Jenkins et al. 2015</a>,G2,5757,85,-85,0,1.11,0.15,-0.09,0,1.04,0.05,-0.05,0,0.21,0.09,-0.09,0,[Fe/H],4.32,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m00.90s,296.003752,+44d16m39.31s,44.2775861,551.727,5.236,-5.141,13.54,0.08,-0.08,11.852,0.016,-0.016,13.4048,0.000235,-0.000235,2015-07-21,2015-08,2015-07-23
Kepler-62 e,K-Warm Superterran,—,1.61,1.15,~ 298,122.4,981,0.83,Kepler-62 e,Kepler-62,1,1,5,Transit,2013,Kepler,Published Confirmed,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,122.3874,0.0008,-0.0008,0,0.427,0.004,-0.004,0,1.61,0.05,-0.05,0,0.144,0.004,-0.004,0,36,,,1,0.113,,,1,Mass,,,,,,,,,270,15,-15,0,0,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,K2 V,4925,70,-70,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,-0.37,0.04,-0.04,0,[Fe/H],4.68,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m51.01s,283.2125621,+45d20m58.92s,45.3496992,300.874,1.219,-1.219,13.965,0.092,-0.092,11.659,0.021,-0.021,13.7197,0.000208,-0.000208,2014-05-14,2013-05,2014-05-14
Kepler-1652 b,M-Warm Superterran,~ 3.18,1.6,0.84,~ 276,38.1,822,0.83,Kepler-1652 b,Kepler-1652,1,1,1,Transit,2017,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,38.09722,0.00021,-0.00021,0,0.1654,0.0042,-0.0075,0,1.6,0.18,-0.18,0,0.143,0.016,-0.016,0,,,,,,,,,,,,,,0.81,0.16,-0.13,0,268,27,-20,0,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,,3638,51,-51,0,0.38,0.04,-0.04,0,0.4,0.04,-0.05,0,-0.3,0.12,-0.12,0,[Fe/H],4.88,0.05,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2017-11-14,2017-12,2017-11-16
Wolf 1061 c,M-Warm Superterran,≥ 3.41,~ 1.66,1.3,~ 306,17.9,14,0.8,Wolf 1061 c,Wolf 1061,1,1,3,Radial Velocity,2015,La Silla Observatory,Published Confirmed,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,17.8719,0.0059,-0.0059,0,0.089,0.0029,-0.0031,0,,,,,,,,,3.41,0.43,-0.41,0,0.01073,0.00135,-0.00129,0,Msini,0.11,0.1,-0.07,0,1.3,,,0,,,,,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M3.5,3342,49,-49,0,0.31,0.03,-0.03,0,0.29,,,0,-0.09,0.09,-0.09,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.30592,0.00118,-0.00118,10.1,0.1,-0.1,5.075,0.024,-0.024,8.79444,0.000741,-0.000741,2017-03-29,2017-06,2017-03-30
Kepler-1410 b,K-Warm Superterran,~ 3.81,1.78,1.07,~ 293,60.9,1196,0.8,Kepler-1410 b,Kepler-1410,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,60.866168,0.0005161,-0.0005161,0,,,,,1.78,0.12,-0.14,0,0.159,0.011,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4092,100.24,-77.85,0,0.6,0.03,-0.04,0,0.63,0.04,-0.04,0,0.01,0.152,-0.152,0,[Fe/H],4.67,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m02.47s,290.5102933,+38d44m36.60s,38.743501,,,,16.319,0.115,-0.115,12.767,0.037,-0.037,15.9484,0.010915,-0.010915,2016-05-06,2016-05,2016-05-10
GJ 667 C c,M-Warm Superterran,≥ 3.81,~ 1.77,0.88,~ 278,28.1,24,0.8,GJ 667 C c,GJ 667 C,1,3,5,Radial Velocity,2011,La Silla Observatory,Published Confirmed,0,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,28.14,0.053,-0.065,0,0.125,0.012,-0.013,0,,,,,,,,,3.8,1.5,-1.2,0,0.012,0.005,-0.004,0,Msini,0.02,0.15,-0.02,0,,,,,,,,,0,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,M1.5 V,3350,50,-50,0,,,,,0.33,0.02,-0.02,0,-0.55,0.1,-0.1,0,[Fe/H],4.69,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h19m00.25s,259.7510609,-34d59m51.95s,-34.9977651,7.24396,0.00486,-0.00485,10.602,0.023,-0.023,6.036,0.02,-0.02,9.38033,0.000709,-0.000709,2014-05-14,2013-08,2014-05-14
Kepler-1544 b,K-Warm Superterran,~ 3.81,1.78,0.84,~ 276,168.8,1092,0.79,Kepler-1544 b,Kepler-1544,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,168.811174,0.001271,-0.001271,0,,,,,1.78,0.09,-0.07,0,0.159,0.008,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4886,73.93,-56.64,0,0.74,0.02,-0.02,0,0.81,0.02,-0.03,0,0.02,0.113,-0.109,0,[Fe/H],4.61,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m08.45s,297.2852168,+49d12m44.83s,49.2124526,335.09,1.666,-1.65,14.287,0.114,-0.114,11.903,0.018,-0.018,14.039,0.000333,-0.000333,2016-05-06,2016-05,2016-05-10
Kepler-283 c,K-Warm Superterran,~ 3.97,1.82,0.89,~ 280,92.7,1526,0.79,Kepler-283 c,Kepler-283,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,92.743711,0.001413,-0.001413,0,0.341,,,0,1.82,0.12,-0.12,0,0.162,0.011,-0.011,0,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4351,100,-100,0,0.57,0.02,-0.02,0,,,,,,,,,,4.72,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m27.30s,293.6137413,+47d50m20.18s,47.838938,468.094,7.94,-7.684,16.216,0.275,-0.275,13.139,0.03,-0.03,15.8753,0.000719,-0.000719,2014-05-14,2014-03,2014-05-14
Kepler-1638 b,G-Warm Superterran,~ 4.16,1.87,1.39,~ 312,259.3,4973,0.76,Kepler-1638 b,Kepler-1638,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,259.33683,0.01303,-0.01303,0,,,,,1.87,0.33,-0.22,0,0.167,0.029,-0.02,0,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5710,96.7,-111.43,0,0.95,0.17,-0.08,0,0.97,0.05,-0.06,0,-0.01,0.141,-0.188,0,[Fe/H],4.47,0.06,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m55.76s,295.4823299,+48d31m28.09s,48.5244695,1525.52,50.91,-47.78,14.769,0.206,-0.206,13.138,0.035,-0.035,14.7479,0.000298,-0.000298,2016-05-06,2016-05,2016-05-10
Kepler-440 b,K-Warm Superterran,~ 4.13,1.91,1.44,~ 308,101.1,981,0.75,Kepler-440 b,Kepler-440,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,101.11141,0.00087,-0.00068,0,0.242,0.066,-0.041,0,1.86,0.24,-0.19,0,0.17,0.02,-0.02,0,,,,,,,,,,0.34,0.12,-0.19,-1,1.2,0.46,-0.65,0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,4134,154,-154,0,0.56,0.03,-0.05,0,0.57,0.04,-0.05,0,-0.3,0.15,-0.15,0,[Fe/H],4.71,0.05,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m24.02s,285.3500664,+41d27m08.53s,41.4523695,301.03,2.278,-2.278,15.637,0.172,-0.172,12.121,0.021,-0.021,15.1058,0.00038,-0.00038,2015-01-06,2015-02,2015-01-06
